<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.05.18	1.04570	1.05710	1.02140	1.02400	68147	0	40
2008.05.25	1.02420	1.05260	1.02220	1.04200	65045	0	40
2008.06.01	1.04180	1.05200	1.01830	1.01850	84942	0	40
2008.06.08	1.01720	1.05390	1.01470	1.04690	92194	0	40
2008.06.15	1.04480	1.05190	1.03020	1.03570	75851	0	40
2008.06.22	1.03430	1.04910	1.01650	1.01830	70924	0	40
2008.06.29	1.01930	1.02820	1.01110	1.02510	56765	0	40
2008.07.06	1.02520	1.03510	1.01360	1.01600	59918	0	40
2008.07.13	1.01500	1.02570	1.00100	1.02260	67841	0	40
2008.07.20	1.02240	1.04060	1.01350	1.03600	59978	0	40
2008.07.27	1.03700	1.05200	1.03170	1.04950	53037	0	40
2008.08.03	1.04870	1.08350	1.04320	1.08220	57774	0	40
2008.08.10	1.08310	1.10070	1.07410	1.09590	73434	0	40
2008.08.17	1.09670	1.10390	1.08420	1.09840	52646	0	40
2008.08.24	1.09830	1.10840	1.08820	1.10130	64983	0	40
2008.08.31	1.09810	1.11900	1.09480	1.11860	83906	0	40
2008.09.07	1.11730	1.14160	1.11250	1.13030	107101	0	40
2008.09.14	1.11980	1.12790	1.08990	1.10530	147983	0	40
2008.09.21	1.10360	1.10510	1.06940	1.08990	84351	0	40
2008.09.28	1.09470	1.14120	1.08120	1.12840	110366	0	40
2008.10.05	1.13700	1.14860	1.11280	1.13880	156289	0	40
2008.10.12	1.13010	1.14880	1.12450	1.13690	117180	0	40
2008.10.19	1.13610	1.17460	1.13220	1.16700	128873	0	40
2008.10.26	1.16230	1.17090	1.12080	1.15900	135641	0	40
2008.11.02	1.15560	1.18000	1.14740	1.17870	146288	0	40
2008.11.09	1.17390	1.20000	1.17120	1.19500	121159	0	40
2008.11.16	1.19900	1.22960	1.18870	1.22270	109972	0	40
2008.11.23	1.22090	1.22230	1.18280	1.21340	94613	0	40
2008.11.30	1.21410	1.22480	1.19240	1.22010	69485	0	40
2008.12.07	1.21980	1.22080	1.17390	1.17680	62574	0	40
2008.12.14	1.17390	1.17460	1.04100	1.10350	102119	0	40
2008.12.21	1.10380	1.10440	1.06670	1.06980	51053	0	40
2008.12.28	1.06610	1.08430	1.03700	1.08110	42810	0	40
2009.01.04	1.08120	1.12770	1.07060	1.11420	85009	0	40
2009.01.11	1.11140	1.12870	1.10960	1.11610	104999	0	40
2009.01.18	1.11360	1.17140	1.11210	1.15400	109866	0	40
2009.01.25	1.15630	1.16580	1.13130	1.16170	111085	0	40
2009.02.01	1.16360	1.17420	1.13990	1.16210	98554	0	40
2009.02.08	1.15985	1.17785	1.15010	1.16055	125742	0	40
2009.02.15	1.16350	1.18830	1.14590	1.15600	112948	0	40
2009.02.22	1.15751	1.17590	1.14605	1.16827	199632	0	40
2009.03.01	1.17165	1.18477	1.14837	1.15798	209214	0	40
2009.03.08	1.15749	1.19631	1.14304	1.18499	235076	0	40
2009.03.15	1.19080	1.19108	1.11585	1.12685	244525	0	40
2009.03.22	1.12352	1.14787	1.11685	1.14380	191368	0	40
2009.03.29	1.14908	1.15477	1.12955	1.13086	182876	0	40
2009.04.05	1.12963	1.16220	1.12398	1.15443	152131	0	40
2009.04.12	1.15509	1.16872	1.13033	1.16495	173091	0	40
2009.04.19	1.16662	1.17403	1.13479	1.13900	199311	0	40
2009.04.26	1.13816	1.16029	1.12698	1.13574	201190	0	40
2009.05.03	1.13503	1.14206	1.10488	1.10576	216449	0	40
2009.05.10	1.10398	1.12460	1.09769	1.12130	229817	0	40
2009.05.17	1.12210	1.12620	1.08110	1.08560	310586	0	40
2009.05.24	1.08450	1.09520	1.06550	1.06670	353898	0	40
2009.05.31	1.06700	1.09050	1.05910	1.08550	416656	0	40
