<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.07.14	04:00:00	1.23460	1.23770	1.23420	1.23580	2070	0	50
2004.07.14	08:00:00	1.23550	1.23750	1.23170	1.23330	2425	0	50
2004.07.14	12:00:00	1.23360	1.23410	1.22530	1.22710	2603	0	50
2004.07.14	16:00:00	1.22730	1.23050	1.22580	1.22840	2383	0	50
2004.07.14	20:00:00	1.22790	1.23020	1.22740	1.22940	1907	0	50
2004.07.15	00:00:00	1.22930	1.23080	1.22880	1.23000	1774	0	50
2004.07.15	04:00:00	1.23040	1.23200	1.22900	1.23130	2023	0	50
2004.07.15	08:00:00	1.23110	1.23750	1.23030	1.23650	2604	0	50
2004.07.15	12:00:00	1.23650	1.23730	1.23190	1.23450	2508	0	50
2004.07.15	16:00:00	1.23430	1.24090	1.23330	1.23910	2479	0	50
2004.07.15	20:00:00	1.23930	1.23990	1.23590	1.23700	1959	0	50
2004.07.16	00:00:00	1.23640	1.23970	1.23420	1.23530	2029	0	50
2004.07.16	04:00:00	1.23560	1.23590	1.23320	1.23490	2002	0	50
2004.07.16	08:00:00	1.23450	1.23750	1.23320	1.23560	2276	0	50
2004.07.16	12:00:00	1.23580	1.23800	1.22320	1.22320	2617	0	50
2004.07.16	16:00:00	1.22370	1.22750	1.22320	1.22650	2476	0	50
2004.07.16	20:00:00	1.22610	1.22650	1.22310	1.22560	1737	0	50
2004.07.19	00:00:00	1.22510	1.22640	1.22370	1.22560	1911	0	50
2004.07.19	04:00:00	1.22600	1.22660	1.22360	1.22470	2036	0	50
2004.07.19	08:00:00	1.22490	1.23100	1.22460	1.23010	2261	0	50
2004.07.19	12:00:00	1.23010	1.23170	1.22760	1.22900	2333	0	50
2004.07.19	16:00:00	1.22900	1.23080	1.22670	1.22810	2258	0	50
2004.07.19	20:00:00	1.22760	1.22990	1.22740	1.22880	2069	0	50
2004.07.20	00:00:00	1.22880	1.23150	1.22820	1.23130	1947	0	50
2004.07.20	04:00:00	1.23110	1.23140	1.22750	1.22830	1987	0	50
2004.07.20	08:00:00	1.22840	1.23320	1.22640	1.23180	2405	0	50
2004.07.20	12:00:00	1.23200	1.24070	1.23180	1.24040	2660	0	50
2004.07.20	16:00:00	1.24070	1.24100	1.23640	1.23780	2497	0	50
2004.07.20	20:00:00	1.23850	1.24740	1.23760	1.24450	2337	0	50
2004.07.21	00:00:00	1.24430	1.24600	1.24330	1.24460	2059	0	50
2004.07.21	04:00:00	1.24400	1.24630	1.24320	1.24470	2084	0	50
2004.07.21	08:00:00	1.24410	1.24630	1.24110	1.24600	2406	0	50
2004.07.21	12:00:00	1.24610	1.25040	1.24580	1.24850	2700	0	50
2004.07.21	16:00:00	1.24820	1.25840	1.24740	1.25480	2762	0	50
2004.07.21	20:00:00	1.25440	1.25510	1.24720	1.24850	2291	0	50
2004.07.22	00:00:00	1.24910	1.25250	1.24830	1.24970	2346	0	50
2004.07.22	04:00:00	1.25010	1.25270	1.24870	1.25170	2291	0	50
2004.07.22	08:00:00	1.25130	1.25400	1.24860	1.24990	2335	0	50
2004.07.22	12:00:00	1.24970	1.25320	1.24460	1.24730	2614	0	50
2004.07.22	16:00:00	1.24760	1.24840	1.24360	1.24640	2542	0	50
2004.07.22	20:00:00	1.24600	1.25060	1.24550	1.24890	2052	0	50
2004.07.23	00:00:00	1.24850	1.25030	1.24760	1.24960	1928	0	50
2004.07.23	04:00:00	1.24930	1.25100	1.24870	1.24950	1943	0	50
2004.07.23	08:00:00	1.24950	1.25550	1.24830	1.25490	2512	0	50
2004.07.23	12:00:00	1.25500	1.25850	1.25320	1.25700	2566	0	50
2004.07.23	16:00:00	1.25660	1.26480	1.25550	1.26340	2544	0	50
2004.07.23	20:00:00	1.26310	1.26890	1.26250	1.26800	1781	0	50
2004.07.26	00:00:00	1.26660	1.26840	1.26360	1.26450	2134	0	50
2004.07.26	04:00:00	1.26440	1.26520	1.26230	1.26380	1988	0	50
2004.07.26	08:00:00	1.26380	1.26580	1.25880	1.26050	2484	0	50
2004.07.26	12:00:00	1.26080	1.26290	1.25920	1.26200	2655	0	50
2004.07.26	16:00:00	1.26220	1.26500	1.26020	1.26400	2410	0	50
2004.07.26	20:00:00	1.26400	1.26550	1.26280	1.26430	2039	0	50
2004.07.27	00:00:00	1.26400	1.26640	1.26270	1.26410	2102	0	50
2004.07.27	04:00:00	1.26400	1.26610	1.26280	1.26480	1975	0	50
2004.07.27	08:00:00	1.26490	1.26720	1.25980	1.26040	2494	0	50
2004.07.27	12:00:00	1.26070	1.26710	1.25990	1.26640	2582	0	50
2004.07.27	16:00:00	1.26670	1.27780	1.26580	1.27630	2737	0	50
2004.07.27	20:00:00	1.27620	1.27790	1.27440	1.27610	2144	0	50
2004.07.28	00:00:00	1.27620	1.27700	1.27430	1.27580	2300	0	50
2004.07.28	04:00:00	1.27600	1.27640	1.27360	1.27510	2133	0	50
2004.07.28	08:00:00	1.27560	1.27910	1.27170	1.27720	2591	0	50
2004.07.28	12:00:00	1.27720	1.27990	1.27210	1.27990	2634	0	50
2004.07.28	16:00:00	1.28000	1.28010	1.27320	1.27530	2664	0	50
2004.07.28	20:00:00	1.27500	1.27800	1.27330	1.27600	2167	0	50
2004.07.29	00:00:00	1.27550	1.27820	1.27380	1.27520	1970	0	50
2004.07.29	04:00:00	1.27490	1.27700	1.27370	1.27430	2188	0	50
2004.07.29	08:00:00	1.27470	1.28150	1.27160	1.28030	2735	0	50
2004.07.29	12:00:00	1.27990	1.28470	1.27760	1.28020	2931	0	50
2004.07.29	16:00:00	1.28030	1.28190	1.27100	1.28040	2834	0	50
2004.07.29	20:00:00	1.28050	1.28390	1.27920	1.28100	2108	0	50
2004.07.30	00:00:00	1.28050	1.28270	1.27910	1.28090	2082	0	50
2004.07.30	04:00:00	1.28050	1.28170	1.27890	1.28070	2076	0	50
2004.07.30	08:00:00	1.28050	1.28130	1.27600	1.27830	2566	0	50
2004.07.30	12:00:00	1.27860	1.28190	1.26960	1.27160	2897	0	50
2004.07.30	16:00:00	1.27150	1.28360	1.26900	1.28080	2856	0	50
2004.07.30	20:00:00	1.28100	1.28310	1.27970	1.28230	1783	0	50
2004.08.02	00:00:00	1.27380	1.27870	1.27320	1.27720	2201	0	50
2004.08.02	04:00:00	1.27670	1.27710	1.27300	1.27550	2103	0	50
2004.08.02	08:00:00	1.27480	1.27640	1.26880	1.27170	2474	0	50
2004.08.02	12:00:00	1.27130	1.27730	1.27010	1.27610	2431	0	50
2004.08.02	16:00:00	1.27600	1.27990	1.27440	1.27920	2446	0	50
2004.08.02	20:00:00	1.27950	1.28020	1.27740	1.27970	1997	0	50
2004.08.03	00:00:00	1.28020	1.28190	1.27780	1.28030	2247	0	50
2004.08.03	04:00:00	1.28010	1.28200	1.27710	1.28060	2356	0	50
2004.08.03	08:00:00	1.28070	1.28290	1.27820	1.27980	1857	0	50
2004.08.03	12:00:00	1.27960	1.28340	1.27710	1.27740	2576	0	50
2004.08.03	16:00:00	1.27750	1.28020	1.27550	1.27850	2308	0	50
2004.08.03	20:00:00	1.27830	1.28060	1.27750	1.27990	2047	0	50
2004.08.04	00:00:00	1.28010	1.28080	1.27810	1.27980	2104	0	50
2004.08.04	04:00:00	1.27990	1.28230	1.27870	1.28160	2109	0	50
2004.08.04	08:00:00	1.28150	1.28480	1.27980	1.28090	2698	0	50
2004.08.04	12:00:00	1.28100	1.28620	1.28020	1.28210	2635	0	50
2004.08.04	16:00:00	1.28210	1.28500	1.27300	1.27720	2575	0	50
2004.08.04	20:00:00	1.27690	1.27810	1.27520	1.27620	2016	0	50
2004.08.05	00:00:00	1.27620	1.27750	1.27410	1.27590	2036	0	50
2004.08.05	04:00:00	1.27540	1.27700	1.27460	1.27530	1880	0	50
2004.08.05	08:00:00	1.27550	1.27670	1.27300	1.27520	2366	0	50
2004.08.05	12:00:00	1.27550	1.28020	1.27420	1.27750	2527	0	50
2004.08.05	16:00:00	1.27720	1.27790	1.27340	1.27570	2269	0	50
2004.08.05	20:00:00	1.27570	1.27670	1.27370	1.27510	2181	0	50
2004.08.06	00:00:00	1.27500	1.27650	1.27380	1.27450	2005	0	50
2004.08.06	04:00:00	1.27450	1.27580	1.27200	1.27340	2185	0	50
2004.08.06	08:00:00	1.27290	1.27670	1.27250	1.27620	2225	0	50
2004.08.06	12:00:00	1.27620	1.27780	1.25310	1.25720	3369	0	50
2004.08.06	16:00:00	1.25690	1.25770	1.24930	1.25020	2610	0	50
2004.08.06	20:00:00	1.25070	1.25200	1.24950	1.25120	2059	0	50
