<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.03.13	1.43730	1.45139	1.40526	1.44697	685885	665674288000	0
2016.03.20	1.44595	1.44673	1.40567	1.41238	519675	491432634000	0
2016.03.27	1.41300	1.44586	1.41197	1.42255	693575	746408557000	0
2016.04.03	1.42182	1.43211	1.40047	1.41139	746462	821307231000	0
2016.04.10	1.41137	1.43477	1.40899	1.41981	718049	827118347000	0
2016.04.17	1.41890	1.44512	1.41306	1.43955	712892	690673567000	0
2016.04.24	1.44579	1.46706	1.44023	1.46102	776406	791389064000	0
2016.05.01	1.45863	1.47691	1.44144	1.44247	770014	842820057000	0
2016.05.08	1.44121	1.45304	1.43398	1.43584	667231	745620890000	0
2016.05.15	1.43468	1.46631	1.43318	1.45037	702489	819816236000	0
2016.05.22	1.44975	1.47391	1.44417	1.46182	697965	802409173000	0
2016.05.29	1.46060	1.47241	1.43855	1.45140	725018	824341562000	0
2016.06.05	1.44670	1.46593	1.41793	1.42512	726265	828694280000	0
2016.06.12	1.42556	1.43872	1.40122	1.43558	818016	878619713000	0
2016.06.19	1.44657	1.50171	1.32290	1.36303	952512	1040588452000	0
2016.06.26	1.34226	1.35329	1.31197	1.32600	803847	876099509000	0
2016.07.03	1.32403	1.33402	1.27950	1.29444	725779	772645924000	0
2016.07.10	1.29448	1.34801	1.28499	1.31857	847913	879971942000	0
2016.07.17	1.31857	1.33144	1.30641	1.31086	725608	826605292000	0
2016.07.24	1.31413	1.33011	1.30564	1.32224	576795	538728202000	0
2016.07.31	1.32190	1.33712	1.30206	1.30646	578273	458058295000	0
2016.08.07	1.30711	1.30960	1.29023	1.29167	506837	513169474000	0
2016.08.14	1.29195	1.31843	1.28650	1.30723	552148	530538330000	0
2016.08.21	1.30478	1.32786	1.30338	1.31270	534037	502360185000	0
2016.08.28	1.31183	1.33518	1.30586	1.32895	559123	482545384000	0
2016.09.04	1.32921	1.34445	1.32386	1.32637	549585	448851086000	0
2016.09.11	1.32610	1.33465	1.29955	1.29955	634453	554405359000	0
2016.09.18	1.29988	1.31204	1.29145	1.29594	630515	550670152000	0
2016.09.25	1.29637	1.30574	1.29156	1.29735	635290	532244545000	0
2016.10.02	1.29171	1.29459	1.14754	1.24235	774091	585164636000	0
2016.10.09	1.23946	1.24434	1.20892	1.21680	790129	565646015000	0
2016.10.16	1.21559	1.23318	1.21350	1.22270	577283	385256340000	0
2016.10.23	1.22197	1.22708	1.20817	1.21686	617713	411930058000	0
2016.10.30	1.21868	1.25568	1.21431	1.25090	678090	519861159000	0
2016.11.06	1.24558	1.26730	1.23525	1.25773	830793	625305853000	0
2016.11.13	1.25603	1.25898	1.23015	1.23337	822235	635647349000	0
2016.11.20	1.23419	1.25120	1.23118	1.24673	805535	672526613000	0
2016.11.27	1.24555	1.27362	1.23851	1.27203	672909	435370005000	0
2016.12.04	1.26776	1.27742	1.25478	1.25656	541763	284344964000	0
2016.12.11	1.25783	1.27275	1.23758	1.24847	645348	325475315000	0
2016.12.18	1.24754	1.25014	1.22282	1.22501	525642	308912155000	0
2016.12.25	1.22818	1.23877	1.19594	1.23245	435043	282851882000	0
2017.01.01	1.23260	1.24318	1.21988	1.22799	616741	400839780000	0
2017.01.08	1.22484	1.23160	1.20374	1.21713	744160	429545432000	0
2017.01.15	1.19905	1.24151	1.19864	1.23701	831785	477948588000	0
2017.01.22	1.23717	1.26731	1.23684	1.25448	764560	468620865000	0
2017.01.29	1.25768	1.27057	1.24118	1.24774	747357	482611800000	0
2017.02.05	1.24838	1.25817	1.23463	1.24773	675905	434276293000	0
2017.02.12	1.24655	1.25477	1.23825	1.24017	662349	473278450000	0
2017.02.19	1.24014	1.25692	1.24009	1.24493	605198	429895053000	0
2017.02.26	1.24672	1.24784	1.22137	1.22857	619527	426963024000	0
2017.03.05	1.22787	1.23001	1.21333	1.21527	629860	457972956000	0
2017.03.12	1.21690	1.24044	1.21087	1.23893	666427	464374853000	0
2017.03.19	1.23882	1.25307	1.23345	1.24595	597453	423774768000	0
2017.03.26	1.24895	1.26148	1.23761	1.25342	601089	449814625000	0
2017.04.02	1.25420	1.25554	1.23581	1.23597	551406	386872305000	0
2017.04.09	1.23776	1.25737	1.23654	1.25162	510171	362528315000	0
2017.04.16	1.25285	1.29048	1.25147	1.27992	567799	413668587000	0
2017.04.23	1.28216	1.29647	1.27715	1.29246	582352	405701540000	0
2017.04.30	1.29321	1.29835	1.28302	1.29748	510878	382837702000	0
2017.05.07	1.29825	1.29879	1.28440	1.28779	599725	473439255000	0
2017.05.14	1.28818	1.30470	1.28648	1.30215	644997	500326476000	0
2017.05.21	1.29932	1.30423	1.27746	1.27878	568731	420066941000	0
2017.05.28	1.27931	1.29204	1.27684	1.28813	511602	378506541000	0
2017.06.04	1.28551	1.29770	1.26348	1.27130	540611	0	11
2017.06.11	1.27091	1.28173	1.26380	1.27768	497827	0	11
2017.06.18	1.27700	1.28141	1.25885	1.27160	431042	0	11
2017.06.25	1.27347	1.30293	1.27056	1.30222	469930	0	11
2017.07.02	1.30044	1.30239	1.28664	1.28895	431449	0	11
2017.07.09	1.28808	1.31131	1.28113	1.30959	414408	0	11
2017.07.16	1.30960	1.31251	1.29323	1.29931	484628	0	11
2017.07.23	1.29865	1.31581	1.29865	1.31335	496007	0	11
2017.07.30	1.31254	1.32677	1.30233	1.30351	461500	0	11
2017.08.06	1.30343	1.30583	1.29389	1.30069	433888	0	11
2017.08.13	1.29906	1.30212	1.28311	1.28646	436624	0	11
2017.08.20	1.28542	1.29159	1.27736	1.28717	373639	0	11
2017.08.27	1.29189	1.29951	1.28517	1.29552	416868	0	11
2017.09.03	1.29506	1.32238	1.29082	1.32095	476708	0	11
2017.09.10	1.31857	1.36168	1.31487	1.35512	550596	862992000	0
2017.09.17	1.35577	1.36559	1.34499	1.34917	625282	0	0
2017.09.24	1.34857	1.35705	1.33425	1.33966	607602	0	0
2017.10.01	1.33693	1.34019	1.30270	1.30639	444803	0	0
2017.10.08	1.30865	1.33376	1.30747	1.32775	398069	0	0
2017.10.15	1.32874	1.33115	1.30876	1.31848	414807	0	0
2017.10.22	1.31853	1.32792	1.30695	1.31281	392022	0	0
2017.10.29	1.31084	1.33206	1.30392	1.30740	361797	0	0
2017.11.05	1.30685	1.32292	1.30583	1.31891	353090	0	0
2017.11.12	1.31651	1.32602	1.30618	1.32132	423582	0	0
2017.11.19	1.32148	1.33600	1.31857	1.33285	329836	0	0
2017.11.26	1.33208	1.35492	1.32208	1.34729	479460	0	0
2017.12.03	1.34319	1.35384	1.33199	1.33922	585472	0	0
2017.12.10	1.33801	1.34660	1.32851	1.33175	608123	0	0
2017.12.17	1.33074	1.34204	1.33074	1.33584	663389	0	2
2017.12.24	1.33722	1.35439	1.33473	1.35078	407542	0	2
2017.12.31	1.35053	1.36126	1.34882	1.35728	524172	0	2
2018.01.07	1.35691	1.37438	1.34579	1.37252	788049	0	1
2018.01.14	1.37267	1.39449	1.37236	1.38571	936127	0	1
2018.01.21	1.38933	1.43452	1.38569	1.41575	1228555	0	0
2018.01.28	1.41382	1.42781	1.39797	1.41204	1179862	0	1
